PATH,ACTUAL FLOW,Date,Time
Saskatchewan,0,2021-03-20,15:39
TOTAL,-834,2021-03-20,15:39
﻿British Columbia,-576,2021-03-20,15:41
Montana,-245,2021-03-20,15:41
Saskatchewan,0,2021-03-20,15:41
TOTAL,-821,2021-03-20,15:41
﻿British Columbia,-584,2021-03-20,15:43
Montana,-251,2021-03-20,15:43
Saskatchewan,0,2021-03-20,15:43
TOTAL,-835,2021-03-20,15:43
﻿British Columbia,-579,2021-03-20,15:45
Montana,-246,2021-03-20,15:45
Saskatchewan,0,2021-03-20,15:45
TOTAL,-825,2021-03-20,15:45
﻿British Columbia,-563,2021-03-20,15:47
Montana,-238,2021-03-20,15:47
Saskatchewan,0,2021-03-20,15:47
TOTAL,-801,2021-03-20,15:47
﻿British Columbia,-565,2021-03-20,15:49
Montana,-234,2021-03-20,15:49
Saskatchewan,0,2021-03-20,15:49
TOTAL,-799,2021-03-20,15:49
﻿British Columbia,-540,2021-03-20,15:51
Montana,-250,2021-03-20,15:51
Saskatchewan,0,2021-03-20,15:51
TOTAL,-790,2021-03-20,15:51
﻿British Columbia,-563,2021-03-20,15:53
Montana,-248,2021-03-20,15:53
Saskatchewan,0,2021-03-20,15:53
TOTAL,-811,2021-03-20,15:53
﻿British Columbia,-555,2021-03-20,15:55
Montana,-235,2021-03-20,15:55
Saskatchewan,0,2021-03-20,15:55
TOTAL,-790,2021-03-20,15:55
﻿British Columbia,-553,2021-03-20,15:57
Montana,-240,2021-03-20,15:57
Saskatchewan,0,2021-03-20,15:57
TOTAL,-793,2021-03-20,15:57
﻿British Columbia,-566,2021-03-20,15:59
Montana,-234,2021-03-20,15:59
Saskatchewan,0,2021-03-20,15:59
TOTAL,-800,2021-03-20,15:59
﻿British Columbia,-555,2021-03-20,16:01
Montana,-241,2021-03-20,16:01
Saskatchewan,0,2021-03-20,16:01
TOTAL,-796,2021-03-20,16:01
﻿British Columbia,-511,2021-03-20,16:03
Montana,-226,2021-03-20,16:03
Saskatchewan,0,2021-03-20,16:03
TOTAL,-737,2021-03-20,16:03
﻿British Columbia,-509,2021-03-20,16:05
Montana,-225,2021-03-20,16:05
Saskatchewan,0,2021-03-20,16:05
TOTAL,-734,2021-03-20,16:05
﻿British Columbia,-530,2021-03-20,16:07
Montana,-222,2021-03-20,16:07
Saskatchewan,0,2021-03-20,16:07
TOTAL,-752,2021-03-20,16:07
﻿British Columbia,-530,2021-03-20,16:09
Montana,-221,2021-03-20,16:09
Saskatchewan,0,2021-03-20,16:09
TOTAL,-751,2021-03-20,16:09
﻿British Columbia,-549,2021-03-20,16:11
Montana,-229,2021-03-20,16:11
Saskatchewan,0,2021-03-20,16:11
TOTAL,-778,2021-03-20,16:11
﻿British Columbia,-551,2021-03-20,16:13
Montana,-231,2021-03-20,16:13
Saskatchewan,0,2021-03-20,16:13
TOTAL,-782,2021-03-20,16:13
﻿British Columbia,-575,2021-03-20,16:16
Montana,-244,2021-03-20,16:16
Saskatchewan,0,2021-03-20,16:16
TOTAL,-819,2021-03-20,16:16
﻿British Columbia,-573,2021-03-20,16:18
Montana,-244,2021-03-20,16:18
Saskatchewan,0,2021-03-20,16:18
TOTAL,-817,2021-03-20,16:18
﻿British Columbia,-587,2021-03-20,16:20
Montana,-241,2021-03-20,16:20
Saskatchewan,0,2021-03-20,16:20
TOTAL,-828,2021-03-20,16:20
﻿British Columbia,-576,2021-03-20,16:22
Montana,-245,2021-03-20,16:22
Saskatchewan,0,2021-03-20,16:22
TOTAL,-821,2021-03-20,16:22
﻿British Columbia,-560,2021-03-20,16:24
Montana,-240,2021-03-20,16:24
Saskatchewan,0,2021-03-20,16:24
TOTAL,-800,2021-03-20,16:24
﻿British Columbia,-594,2021-03-20,16:26
Montana,-246,2021-03-20,16:26
Saskatchewan,0,2021-03-20,16:26
TOTAL,-840,2021-03-20,16:26
﻿British Columbia,-571,2021-03-20,16:28
Montana,-241,2021-03-20,16:28
Saskatchewan,0,2021-03-20,16:28
TOTAL,-812,2021-03-20,16:28
﻿British Columbia,-602,2021-03-20,16:30
Montana,-243,2021-03-20,16:30
Saskatchewan,0,2021-03-20,16:30
TOTAL,-845,2021-03-20,16:30
﻿British Columbia,-585,2021-03-20,16:32
Montana,-239,2021-03-20,16:32
Saskatchewan,0,2021-03-20,16:32
TOTAL,-824,2021-03-20,16:32
﻿British Columbia,-608,2021-03-20,16:34
Montana,-235,2021-03-20,16:34
Saskatchewan,0,2021-03-20,16:34
TOTAL,-843,2021-03-20,16:34
﻿British Columbia,-593,2021-03-20,16:36
Montana,-242,2021-03-20,16:36
Saskatchewan,0,2021-03-20,16:36
TOTAL,-835,2021-03-20,16:36
﻿British Columbia,-557,2021-03-20,16:38
Montana,-231,2021-03-20,16:38
Saskatchewan,0,2021-03-20,16:38
TOTAL,-788,2021-03-20,16:38
﻿British Columbia,-564,2021-03-20,16:40
Montana,-240,2021-03-20,16:40
Saskatchewan,0,2021-03-20,16:40
TOTAL,-804,2021-03-20,16:40
﻿British Columbia,-592,2021-03-20,16:42
Montana,-248,2021-03-20,16:42
Saskatchewan,0,2021-03-20,16:42
TOTAL,-840,2021-03-20,16:42
﻿British Columbia,-584,2021-03-20,16:44
Montana,-237,2021-03-20,16:44
Saskatchewan,0,2021-03-20,16:44
TOTAL,-821,2021-03-20,16:44
﻿British Columbia,-548,2021-03-20,16:46
Montana,-243,2021-03-20,16:46
Saskatchewan,0,2021-03-20,16:46
TOTAL,-791,2021-03-20,16:46
﻿British Columbia,-591,2021-03-20,16:48
Montana,-253,2021-03-20,16:48
Saskatchewan,0,2021-03-20,16:48
TOTAL,-844,2021-03-20,16:48
﻿British Columbia,-591,2021-03-20,16:50
Montana,-252,2021-03-20,16:50
Saskatchewan,0,2021-03-20,16:50
TOTAL,-843,2021-03-20,16:50
﻿British Columbia,-577,2021-03-20,16:52
Montana,-240,2021-03-20,16:52
Saskatchewan,0,2021-03-20,16:52
TOTAL,-817,2021-03-20,16:52
﻿British Columbia,-597,2021-03-20,16:54
Montana,-248,2021-03-20,16:54
Saskatchewan,0,2021-03-20,16:54
TOTAL,-845,2021-03-20,16:54
﻿British Columbia,-574,2021-03-20,16:56
Montana,-242,2021-03-20,16:56
Saskatchewan,0,2021-03-20,16:56
TOTAL,-816,2021-03-20,16:56
﻿British Columbia,-578,2021-03-20,16:59
Montana,-244,2021-03-20,16:59
Saskatchewan,0,2021-03-20,16:59
